No,Category,Subcategory,Product Name,Image File,Price,Description,Product Link
1,"Plant Care","Organic Fertilizer","Fertilizer Product 01",assets/images/products/product-001.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
2,"Plant Care","Organic Fertilizer","Fertilizer Product 02",assets/images/products/product-002.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
3,"Plant Care","Organic Fertilizer","Fertilizer Product 03",assets/images/products/product-003.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
4,"Plant Care","Organic Fertilizer","Fertilizer Product 04",assets/images/products/product-004.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
5,"Plant Care","Organic Fertilizer","Fertilizer Product 05",assets/images/products/product-005.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
6,"Pots & Planters","Wooden Planters","Wooden Planters 01",assets/images/products/product-006.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
7,"Pots & Planters","Wooden Planters","Wooden Planters 02",assets/images/products/product-007.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
8,"Pots & Planters","Wooden Planters","Wooden Planters 03",assets/images/products/product-008.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
9,"Pots & Planters","Wooden Planters","Wooden Planters 04",assets/images/products/product-009.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
10,"Pots & Planters","Wooden Planters","Wooden Planters 05",assets/images/products/product-010.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
11,"Pots & Planters","Wooden Planters","Wooden Planters 06",assets/images/products/product-011.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
12,"Pots & Planters","Wooden Planters","Wooden Planters 07",assets/images/products/product-012.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
13,"Pots & Planters","Wooden Planters","Wooden Planters 08",assets/images/products/product-013.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
14,"Pots & Planters","Wooden Planters","Wooden Planters 09",assets/images/products/product-014.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
15,"Pots & Planters","Wooden Planters","Wooden Planters 10",assets/images/products/product-015.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
16,"Pots & Planters","Wooden Planters","Wooden Planters 11",assets/images/products/product-016.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
17,"Pots & Planters","Wooden Planters","Wooden Planters 12",assets/images/products/product-017.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
18,"Pots & Planters","Wooden Planters","Wooden Planters 13",assets/images/products/product-018.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
19,"Pots & Planters","Wooden Planters","Wooden Planters 14",assets/images/products/product-019.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
20,"Pots & Planters","Wooden Planters","Wooden Planters 15",assets/images/products/product-020.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
21,"Pots & Planters","Wooden Planters","Wooden Planters 16",assets/images/products/product-021.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
22,"Pots & Planters","Wooden Planters","Wooden Planters 17",assets/images/products/product-022.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
23,"Pots & Planters","Wooden Planters","Wooden Planters 18",assets/images/products/product-023.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
24,"Pots & Planters","Wooden Planters","Wooden Planters 19",assets/images/products/product-024.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
25,"Pots & Planters","Wooden Planters","Wooden Planters 20",assets/images/products/product-025.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
26,"Pots & Planters","Wooden Planters","Wooden Planters 21",assets/images/products/product-026.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
27,"Pots & Planters","Wooden Planters","Wooden Planters 22",assets/images/products/product-027.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
28,"Pots & Planters","Wooden Planters","Wooden Planters 23",assets/images/products/product-028.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
29,"Pots & Planters","Wooden Planters","Wooden Planters 24",assets/images/products/product-029.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
30,"Pots & Planters","Wooden Planters","Wooden Planters 25",assets/images/products/product-030.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
31,"Pots & Planters","Metallic Planters","Metallic Planters 01",assets/images/products/product-031.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
32,"Pots & Planters","Metallic Planters","Metallic Planters 02",assets/images/products/product-032.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
33,"Pots & Planters","Metallic Planters","Metallic Planters 03",assets/images/products/product-033.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
34,"Pots & Planters","Metallic Planters","Metallic Planters 04",assets/images/products/product-034.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
35,"Pots & Planters","Metallic Planters","Metallic Planters 05",assets/images/products/product-035.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
36,"Pots & Planters","Metallic Planters","Metallic Planters 06",assets/images/products/product-036.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
37,"Pots & Planters","Metallic Planters","Metallic Planters 07",assets/images/products/product-037.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
38,"Pots & Planters","Metallic Planters","Metallic Planters 08",assets/images/products/product-038.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
39,"Pots & Planters","Metallic Planters","Metallic Planters 09",assets/images/products/product-039.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
40,"Pots & Planters","Metallic Planters","Metallic Planters 10",assets/images/products/product-040.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
41,"Pots & Planters","Metallic Planters","Metallic Planters 11",assets/images/products/product-041.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
42,"Pots & Planters","Metallic Planters","Metallic Planters 12",assets/images/products/product-042.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
43,"Pots & Planters","Metallic Planters","Metallic Planters 13",assets/images/products/product-043.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
44,"Pots & Planters","Metallic Planters","Metallic Planters 14",assets/images/products/product-044.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
45,"Pots & Planters","Metallic Planters","Metallic Planters 15",assets/images/products/product-045.svg,0,ADD PRODUCT DETAILS,ADD PRODUCT LINK
